"","mixture_collection","indiv","repunit","collection","PofZ","log_likelihood","z_score","n_non_miss_loci","n_miss_loci","missing_loci"
"1","krista","gtseq3_H-14-MI-V0188","miniatus","miniatus","1","-92.2002153630905","-9.50245484672905","64","26","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_770.1 = 80, 
tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"2","krista","gtseq3_H-14-MI-V0191","miniatus","miniatus","1","-92.1288202206192","-7.65905543258738","74","16","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"3","krista","gtseq3_H-14-MI-V0192","miniatus","miniatus","1","-34.3323566292821","-1.31260467556808","62","28","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_1966.2 = 44, tag_id_2008.1 = 48, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_410.1 = 75, tag_id_770.1 = 80, tag_id_788.1 = 81, 
tag_id_855.1 = 83, tag_id_874.1 = 84, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"4","krista","gtseq3_H-14-MI-V0202","miniatus","miniatus","1","-46.2971129608629","-1.12301114870779","84","6","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_942.1 = 88)"
"5","krista","gtseq3_H-14-MI-V0204","miniatus","miniatus","1","-42.5304153978522","-1.39798424735285","74","16","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_855.1 = 83, tag_id_874.1 = 84, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88)"
"6","krista","gtseq3_H-14-MI-V0208","miniatus","miniatus","1","-50.650824035435","-1.50421232114211","84","6","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_942.1 = 88)"
"7","krista","gtseq3_H-14-MI-V0211","miniatus","miniatus","1","-62.0832005762435","-3.4973777094399","82","8","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_942.1 = 88)"
"8","krista","gtseq3_H-14-MI-V0213","miniatus","miniatus","1","-26.9795411226237","-0.403244885342357","61","29","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1880.1 = 39, tag_id_1889.1 = 40, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, 
tag_id_2499.1 = 68, tag_id_770.1 = 80, tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"9","krista","gtseq3_H-14-MI-V0214","miniatus","miniatus","1","-32.8973068384584","-0.296818153780417","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_874.1 = 84, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"10","krista","gtseq3_H-14-MI-V0216","miniatus","miniatus","1","-40.3708952498428","-1.24090432554846","68","22","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_162.1 = 26, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_874.1 = 84, tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
